source,target
infovis05--1532140,infovis95--528691
infovis06--4015425,infovis04--1382886
infovis06--4015425,infovis97--636718
infovis06--4015425,infovis02--1173152
infovis06--4015425,infovis05--1532150
infovis06--4015425,infovis03--1249030
infovis06--4015425,infovis03--1249008
infovis06--4015425,infovis05--1532129
infovis06--4015419,infovis03--1249011
infovis06--4015419,infovis04--1382886
infovis06--4015419,infovis05--1532126
infovis06--4015419,infovis97--636718
infovis06--4015419,infovis04--1382909
infovis06--4015424,infovis04--1382886
infovis06--4015424,infovis05--1532126
infovis06--4015424,infovis05--1532124
infovis06--4015417,infovis04--1382905
infovis06--4015417,infovis05--1532126
infovis06--4015439,infovis98--729560
infovis06--4015439,infovis04--1382905
infovis06--4015439,infovis02--1173141
infovis06--4015439,infovis03--1249007
infovis06--4015439,infovis04--1382904
infovis06--4015416,infovis04--1382907
infovis06--4015416,infovis04--1382909
infovis06--4015416,infovis97--636718
infovis06--4015416,infovis05--1532127
infovis06--4015432,infovis02--1173156
infovis06--4015432,infovis98--729570
infovis06--4015431,infovis05--1532125
infovis06--4015431,infovis99--801859
infovis06--4015431,infovis99--801860
infovis06--4015431,infovis01--963290
infovis06--4015433,infovis04--1382907
infovis06--4015433,infovis04--1382909
infovis06--4015422,infovis04--1382894
infovis06--4015422,infovis04--1382895
infovis06--4015437,infovis02--1173156
infovis06--4015421,infovis04--1382900
infovis06--4015421,infovis00--885088
infovis06--4015421,infovis04--1382895
infovis06--4015418,infovis03--1249028
infovis06--4015418,infovis02--1173153
infovis06--4015418,infovis02--1173155
infovis06--4015435,infovis05--1532130
infovis06--4015436,infovis99--801854
infovis06--4015436,infovis02--1173156
infovis06--4015426,infovis04--1382888
infovis06--4015423,infovis01--963279
infovis06--4015434,infovis97--636718
infovis06--4015430,infovis04--1382908
infovis06--4015438,infovis96--559214
infovis06--4015438,infovis97--636786
infovis07--4376131,infovis03--1249007
infovis07--4376131,infovis05--1532122
infovis07--4376144,infovis05--1532136
infovis07--4376144,infovis96--559213
infovis07--4376144,infovis05--1532126
infovis07--4376144,infovis00--885091
infovis07--4376144,infovis99--801860
infovis07--4376154,infovis04--1382907
infovis07--4376154,infovis04--1382905
infovis07--4376154,infovis05--1532126
infovis07--4376154,infovis06--4015425
infovis07--4376154,infovis06--4015424
infovis07--4376154,infovis05--1532129
infovis07--4376146,infovis99--801854
infovis07--4376146,infovis02--1173148
infovis07--4376146,infovis01--963279
infovis07--4376143,infovis97--636789
infovis07--4376143,infovis97--636792
infovis07--4376143,infovis00--885092
infovis07--4376138,infovis04--1382905
infovis07--4376138,infovis04--1382904
infovis07--4376132,infovis99--801862
infovis07--4376134,infovis05--1532126
infovis07--4376134,infovis03--1249031
infovis07--4376134,infovis04--1382903
infovis07--4376134,infovis04--1382897
infovis07--4376140,infovis06--4015425
infovis07--4376140,infovis06--4015424
infovis07--4376140,infovis03--1249008
infovis07--4376145,infovis00--885091
infovis07--4376139,infovis06--4015428
infovis07--4376139,infovis05--1532122
infovis07--4376152,infovis06--4015431
infovis07--4376152,infovis05--1532145
infovis07--4376152,infovis99--801860
infovis07--4376136,infovis04--1382887
infovis07--4376136,infovis05--1532122
infovis07--4376147,infovis04--1382907
infovis07--4376147,infovis05--1532128
infovis07--4376147,infovis02--1173156
infovis07--4376147,infovis04--1382899
infovis07--4376147,infovis02--1173148
infovis07--4376147,infovis05--1532132
infovis07--4376147,infovis99--801860
infovis07--4376147,infovis06--4015431
infovis07--4376147,infovis05--1532129
infovis07--4376150,infovis05--1532140
infovis07--4376150,infovis05--1532137
infovis07--4376129,infovis02--1173156
infovis07--4376129,infovis04--1382888
infovis07--4376137,infovis04--1382904
infovis07--4376142,infovis01--963287
infovis07--4376142,infovis01--963273
infovis07--4376142,infovis00--885097
infovis07--4376151,infovis05--1532136
infovis07--4376151,infovis04--1382903
infovis07--4376149,infovis04--1382900
infovis07--4376149,infovis02--1173146
infovis07--4376149,infovis04--1382891
infovis07--4376149,infovis95--528686
infovis07--4376153,infovis02--1173148
infovis07--4376153,infovis00--885091
infovis07--4376153,infovis02--1173153
infovis07--4376153,infovis05--1532129
infovis07--4376153,infovis04--1382885
infovis07--4376153,infovis05--1532152
infovis07--4376148,infovis03--1249025
infovis07--4376130,infovis02--1173158
infovis07--4376130,infovis97--636718
infovis07--4376130,infovis02--1173148
infovis08--4658123,infovis05--1532136
infovis08--4658123,infovis98--729559
infovis08--4658123,infovis04--1382905
infovis08--4658123,infovis07--4376146
infovis08--4658123,infovis04--1382895
infovis08--4658123,infovis04--1382892
infovis08--4658123,infovis07--4376131
infovis08--4658123,infovis07--4376144
infovis08--4658146,infovis99--801854
infovis08--4658146,infovis07--4376146
infovis08--4658136,infovis00--885098
infovis08--4658136,infovis06--4015420
infovis08--4658136,infovis07--4376131
infovis08--4658136,infovis05--1532122
infovis08--4658129,infovis04--1382890
infovis08--4658129,infovis07--4376133
infovis08--4658133,infovis02--1173148
infovis08--4658133,infovis07--4376131
infovis08--4658133,infovis02--1173155
